Chord Type (titulo_aleatorio),Element Text,Phrase Role,Native Role Name,Font Size,Baseline Shift,Tracking (letter-spacing),,,
,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,D,acorde_BAIXO_-track_b,acorde_BAIXO_-track_b,9pt,,0em,,,
,♭,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,7,acorde_NUMEROS_9pt_--track,acorde_NUMEROS_9pt_--track,9pt,,0em,,,
,♯,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,0em,,,
,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,,,,
,7,acorde_NUMEROS_9pt_--track,acorde_NUMEROS_9pt_--track,9pt,,0em,,,
,♯,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,0em,,,
,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,,,,
,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,0em,,,
,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,0em,,,
,5,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,7,acorde_NUMEROS_9pt_---track,acorde_NUMEROS_9pt_---track,9pt,,0em,,,
,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,0em,,,
,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,,,,
,C,acorde_NADA,acorde_NADA,,,0em,,,
,(♯,acorde_NUMEROS_9pt_shift2_5pt_-track,"acorde_NUMEROS_9pt_shift2,5pt_-track",9pt,2.5pt,0em,,,
,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,),acorde_NUMEROS_9pt_shift2_5pt_-track,"acorde_NUMEROS_9pt_shift2,5pt_-track",9pt,2.5pt,0em,,,
,B,acorde_NADA,acorde_NADA,,,0em,,,
,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,F,acorde_BAIXO_-track__,acorde_BAIXO_-track_#,9pt,,0em,,,
,♯,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,0em,,,
,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,0em,,,
,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
,/B,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,G,acorde_NADA,acorde_NADA,,,0em,,,
,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,B,acorde_BAIXO_-track_b,acorde_BAIXO_-track_b,9pt,,0em,,,
,♭,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,F,acorde_NADA,acorde_NADA,,,0em,,,
,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,0em,,,
,11,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,0em,,,
,F,acorde_NADA,acorde_NADA,,,0em,,,
,+,acorde_AUMENTADO_8pt_shift4_5pt_-track,"acorde_AUMENTADO_8pt_shift4,5pt_-track",8pt,4.5pt,0em,,,
,♯,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,0em,,,
,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,,,,
,D,acorde_NADA,acorde_NADA,,,0em,,,
