Chord Type (titulo_aleatorio),Element Text,Phrase Role,Native Role Name,Font Size,Baseline Shift,Tracking (letter-spacing),,,
acorde menor com nona,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com nona,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com nona,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com nona,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com nona,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com nona,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com nona,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com nona,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com nona,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com nona,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com nona,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com nona,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com nona,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com nona,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com nona,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com nona,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com nona,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com nona,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com nona,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com nona,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com nona,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com nona,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com nona,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com nona,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com nona,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com nona,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com nona,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com nona,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com nona,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com nona,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com nona,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com nona,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com nona,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde diminuto,A,acorde_NADA,acorde_NADA,,,0em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,E,acorde_NADA,acorde_NADA,,,0em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,F,acorde_NADA,acorde_NADA,,,0em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,G,acorde_NADA,acorde_NADA,,,0em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,A,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde diminuto,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,B,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde diminuto,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde diminuto,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,D,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde diminuto,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,E,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde diminuto,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde diminuto,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde diminuto,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde diminuto,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde diminuto,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde diminuto,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde diminuto,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde diminuto,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde diminuto,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde diminuto,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde diminuto,º,acorde_DIMINUTO_shift1_5pt,"acorde_DIMINUTO_shift1,5pt",11pt,1.5pt,,,,
acorde diminuto,Kozuka Gothic Pr6N,,,12pt,,,,,
acorde diminuto,"Regular, 10,5 pt, Kerning manual",,,12pt,,,,,
acorde maior com quinta aumentada,A,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,E,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,F,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,G,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,A,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,B,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,D,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,E,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde maior com quinta aumentada,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,A,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,E,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,F,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,G,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,A,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,B,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,D,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,E,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com quinta aumentada,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
